[2025-06-17T15:37:00.685+0900] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-17T15:37:00.778+0900] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: image_ocr_v2.copy_results_folder_task manual__2025-06-17T06:36:01.647564+00:00 [queued]>
[2025-06-17T15:37:00.820+0900] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: image_ocr_v2.copy_results_folder_task manual__2025-06-17T06:36:01.647564+00:00 [queued]>
[2025-06-17T15:37:00.822+0900] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-06-17T15:37:00.877+0900] {taskinstance.py:2890} INFO - Executing <Task(_PythonDecoratedOperator): copy_results_folder_task> on 2025-06-17 06:36:01.647564+00:00
[2025-06-17T15:37:00.903+0900] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=7100) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-06-17T15:37:00.910+0900] {standard_task_runner.py:72} INFO - Started process 7109 to run task
[2025-06-17T15:37:00.912+0900] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'image_ocr_v2', 'copy_results_folder_task', 'manual__2025-06-17T06:36:01.647564+00:00', '--job-id', '934', '--raw', '--subdir', 'DAGS_FOLDER/test_dag.py', '--cfg-path', '/tmp/tmppd7h18j2']
[2025-06-17T15:37:00.922+0900] {standard_task_runner.py:105} INFO - Job 934: Subtask copy_results_folder_task
[2025-06-17T15:37:01.090+0900] {task_command.py:467} INFO - Running <TaskInstance: image_ocr_v2.copy_results_folder_task manual__2025-06-17T06:36:01.647564+00:00 [running]> on host f6d4228a9eb8
[2025-06-17T15:37:01.475+0900] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='image_ocr_v2' AIRFLOW_CTX_TASK_ID='copy_results_folder_task' AIRFLOW_CTX_EXECUTION_DATE='2025-06-17T06:36:01.647564+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-17T06:36:01.647564+00:00'
[2025-06-17T15:37:01.480+0900] {taskinstance.py:732} INFO - ::endgroup::
